,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ZEC-USD,0.027412359638843132,6.0
1,XTZ-USD,MKR-USD,0.0014762381765039208,8.0
2,XTZ-USD,CELO-USD,1.6477410913754924,11.0
3,XTZ-USD,ENJ-USD,2.5962698305083016,4.0
4,XTZ-USD,ZRX-USD,3.8899287728095953,6.0
5,XTZ-USD,COMP-USD,0.025496194986208053,5.0
6,XTZ-USD,SUSHI-USD,0.9723131261082736,5.0
7,XTZ-USD,CRV-USD,1.080214522971315,10.0
8,XTZ-USD,AAVE-USD,0.014229539821314408,12.0
9,XTZ-USD,MATIC-USD,0.9965925793442516,12.0
10,XTZ-USD,1INCH-USD,2.059874255109876,6.0
11,ETC-USD,YFI-USD,0.002407996987608336,6.0
12,ETC-USD,XLM-USD,209.06437749105322,6.0
13,ETC-USD,UMA-USD,10.361178522403334,6.0
14,ZEC-USD,MKR-USD,0.053848225292582,8.0
15,ZEC-USD,CELO-USD,60.10332412898523,11.0
16,ZEC-USD,ENJ-USD,94.70138787824303,7.0
17,ZEC-USD,COMP-USD,0.9300089283551324,6.0
18,ZEC-USD,XLM-USD,394.34488807201046,12.0
19,ZEC-USD,CRV-USD,39.404015290417576,9.0
20,ZEC-USD,AAVE-USD,0.5190441503705292,12.0
21,LINK-USD,DOGE-USD,89.10885501759428,9.0
22,MKR-USD,CELO-USD,1115.9191579253074,13.0
23,MKR-USD,ENJ-USD,1758.4334655567015,5.0
24,MKR-USD,ZRX-USD,2634.644498615847,6.0
25,MKR-USD,COMP-USD,17.268099310636522,6.0
26,MKR-USD,SUSHI-USD,658.5172348783199,7.0
27,MKR-USD,ADA-USD,1761.8536434480152,9.0
28,MKR-USD,LTC-USD,7.883126903711747,12.0
29,MKR-USD,ETH-USD,0.37156727739101275,7.0
30,ATOM-USD,ETH-USD,0.005922711829586545,10.0
31,BCH-USD,ZRX-USD,453.90225671007147,14.0
32,BCH-USD,UMA-USD,62.53524786079346,5.0
33,BCH-USD,1INCH-USD,240.37294779220008,17.0
34,CELO-USD,ENJ-USD,1.5752696062011928,14.0
35,CELO-USD,FIL-USD,0.11394036531386664,4.0
36,CELO-USD,ZRX-USD,2.3603129778320087,9.0
37,CELO-USD,NEAR-USD,0.31160800570955216,11.0
38,CELO-USD,SUSHI-USD,0.5899466264052059,15.0
39,CELO-USD,CRV-USD,0.6554965559288658,9.0
40,CELO-USD,MATIC-USD,0.6047798755135518,6.0
41,CELO-USD,1INCH-USD,1.2499547661828694,5.0
42,ENJ-USD,FIL-USD,0.07230540924223613,15.0
43,ENJ-USD,ZRX-USD,1.498162166725049,6.0
44,ENJ-USD,COMP-USD,0.009819886341449329,3.0
45,ENJ-USD,NEAR-USD,0.19772644758435742,22.0
46,ENJ-USD,SUSHI-USD,0.374484042423378,4.0
47,ENJ-USD,LTC-USD,0.004482856954254485,8.0
48,ENJ-USD,AAVE-USD,0.0054800369723424,16.0
49,ENJ-USD,MATIC-USD,0.38380889876341806,14.0
50,ENJ-USD,ETH-USD,0.00021127028121671252,8.0
51,RUNE-USD,NEAR-USD,0.7250831842020612,11.0
52,RUNE-USD,MATIC-USD,1.4070323955611865,20.0
53,FIL-USD,ZRX-USD,20.712431076155795,11.0
54,FIL-USD,NEAR-USD,2.734605393635988,10.0
55,FIL-USD,ALGO-USD,28.05024812745731,20.0
56,FIL-USD,SUSHI-USD,5.177191686555451,15.0
57,FIL-USD,UMA-USD,2.852954227849479,12.0
58,FIL-USD,CRV-USD,5.752479843326968,11.0
59,FIL-USD,SOL-USD,0.24849363220580767,11.0
60,FIL-USD,MATIC-USD,5.3074502971785655,7.0
61,FIL-USD,ETH-USD,0.0029202610745797174,23.0
62,ZRX-USD,COMP-USD,0.006553235844638199,7.0
63,ZRX-USD,NEAR-USD,0.13196445834670112,19.0
64,ZRX-USD,SUSHI-USD,0.24991078237550657,8.0
65,ZRX-USD,AAVE-USD,0.0036572324496955627,14.0
66,ZRX-USD,UNI-USD,0.04742722050697791,9.0
67,ZRX-USD,MATIC-USD,0.25615803732662457,10.0
68,ZRX-USD,1INCH-USD,0.529445888849628,7.0
69,ZRX-USD,ETH-USD,0.00014099761548670985,9.0
70,TRX-USD,BTC-USD,2.2584644009653805e-06,22.0
71,TRX-USD,DOT-USD,0.010479369947948253,13.0
72,YFI-USD,XLM-USD,86808.90781735283,6.0
73,YFI-USD,SOL-USD,374.65868070574163,11.0
74,COMP-USD,SUSHI-USD,38.13258435771188,6.0
75,COMP-USD,SOL-USD,1.830224720250172,5.0
76,XLM-USD,UMA-USD,0.049557521231153104,5.0
77,XLM-USD,CRV-USD,0.09990322529710774,10.0
78,XLM-USD,AAVE-USD,0.0013160207218775016,12.0
79,XLM-USD,UNI-USD,0.017064725076676373,13.0
80,XLM-USD,ETH-USD,5.0724036442358094e-05,19.0
81,EOS-USD,UMA-USD,0.5654205197965572,23.0
82,EOS-USD,CRV-USD,1.1401900547011654,16.0
83,NEAR-USD,ALGO-USD,10.252683145426381,20.0
84,NEAR-USD,SUSHI-USD,1.8921924523317033,24.0
85,NEAR-USD,UMA-USD,1.0426093616357606,22.0
86,NEAR-USD,DOGE-USD,24.753731566507838,21.0
87,NEAR-USD,UNI-USD,0.35915615552210184,18.0
88,NEAR-USD,MATIC-USD,1.9400588092897204,12.0
89,SUSHI-USD,AAVE-USD,0.014633516734294943,16.0
90,ADA-USD,ETH-USD,0.0002108558080036312,6.0
91,UMA-USD,AAVE-USD,0.02654920337609414,13.0
92,UMA-USD,MATIC-USD,1.8595116740190258,12.0
93,UNI-USD,MATIC-USD,5.400697541417216,6.0
